student_id,name,email,joining_time,leaving_time,total_duration,Total_Attendance,Attendance_Percentage,Certification_Status
STU0959,Student_959,student959@gmail.com,13:10,15:10,120,120,100.0,Certified
STU0947,Student_947,student947@gmail.com,13:06,15:06,120,120,100.0,Certified
STU0031,Student_31,student31@gmail.com,13:01,15:01,120,120,100.0,Certified
STU0044,Student_44,student44@gmail.com,13:12,15:12,120,120,100.0,Certified
STU0847,Student_847,student847@gmail.com,13:06,15:06,120,120,100.0,Certified
STU0826,Student_826,student826@gmail.com,13:14,15:14,120,120,100.0,Certified
STU0692,Student_692,student692@gmail.com,13:11,15:11,120,120,100.0,Certified
STU0700,Student_700,student700@gmail.com,13:14,15:14,120,120,100.0,Certified
STU0078,Student_78,student78@gmail.com,13:08,15:08,120,120,100.0,Certified
STU0707,Student_707,student707@gmail.com,13:11,15:11,120,120,100.0,Certified
STU0737,Student_737,student737@gmail.com,13:19,15:19,120,120,100.0,Certified
STU0746,Student_746,student746@gmail.com,13:16,15:16,120,120,100.0,Certified
STU0460,Student_460,student460@gmail.com,13:14,15:14,120,120,100.0,Certified
STU0437,Student_437,student437@gmail.com,13:10,15:10,120,120,100.0,Certified
STU0442,Student_442,student442@gmail.com,13:16,15:16,120,120,100.0,Certified
STU0445,Student_445,student445@gmail.com,13:10,15:10,120,120,100.0,Certified
STU0373,Student_373,student373@gmail.com,13:05,15:05,120,120,100.0,Certified
STU0376,Student_376,student376@gmail.com,13:18,15:18,120,120,100.0,Certified
STU0375,Student_375,student375@gmail.com,13:14,15:14,120,120,100.0,Certified
STU0411,Student_411,student411@gmail.com,13:13,15:13,120,120,100.0,Certified
STU0365,Student_365,student365@gmail.com,13:06,15:06,120,120,100.0,Certified
STU0238,Student_238,student238@gmail.com,13:14,15:14,120,120,100.0,Certified
STU0967,Student_967,student967@gmail.com,13:15,15:15,120,120,100.0,Certified
STU0175,Student_175,student175@gmail.com,13:04,15:04,120,120,100.0,Certified
STU0291,Student_291,student291@gmail.com,13:03,15:03,120,120,100.0,Certified
STU0294,Student_294,student294@gmail.com,13:17,15:17,120,120,100.0,Certified
STU0313,Student_313,student313@gmail.com,13:10,15:10,120,120,100.0,Certified
STU0323,Student_323,student323@gmail.com,13:06,15:06,120,120,100.0,Certified
STU0620,Student_620,student620@gmail.com,13:04,15:04,120,120,100.0,Certified
STU0664,Student_664,student664@gmail.com,13:04,15:04,120,120,100.0,Certified
STU0586,Student_586,student586@gmail.com,13:08,15:08,120,120,100.0,Certified
STU0613,Student_613,student613@gmail.com,13:13,15:13,120,120,100.0,Certified
STU0487,Student_487,student487@gmail.com,13:04,15:04,120,120,100.0,Certified
STU0117,Student_117,student117@gmail.com,13:03,15:03,120,120,100.0,Certified
STU0538,Student_538,student538@gmail.com,13:01,15:01,120,120,100.0,Certified
STU0662,Student_662,student662@gmail.com,13:10,15:09,119,119,99.166667,Certified
STU0842,Student_842,student842@gmail.com,13:14,15:13,119,119,99.166667,Certified
STU0912,Student_912,student912@gmail.com,13:07,15:06,119,119,99.166667,Certified
STU0948,Student_948,student948@gmail.com,13:18,15:17,119,119,99.166667,Certified
STU0869,Student_869,student869@gmail.com,13:09,15:08,119,119,99.166667,Certified
STU0880,Student_880,student880@gmail.com,13:20,15:19,119,119,99.166667,Certified
STU0953,Student_953,student953@gmail.com,13:06,15:05,119,119,99.166667,Certified
STU0767,Student_767,student767@gmail.com,13:17,15:16,119,119,99.166667,Certified
STU0954,Student_954,student954@gmail.com,13:03,15:02,119,119,99.166667,Certified
STU0517,Student_517,student517@gmail.com,13:08,15:07,119,119,99.166667,Certified
STU0966,Student_966,student966@gmail.com,13:03,15:02,119,119,99.166667,Certified
STU0243,Student_243,student243@gmail.com,13:01,15:00,119,119,99.166667,Certified
STU0419,Student_419,student419@gmail.com,13:08,15:07,119,119,99.166667,Certified
STU0343,Student_343,student343@gmail.com,13:12,15:11,119,119,99.166667,Certified
STU0336,Student_336,student336@gmail.com,13:15,15:14,119,119,99.166667,Certified
STU0443,Student_443,student443@gmail.com,13:17,15:16,119,119,99.166667,Certified
STU0307,Student_307,student307@gmail.com,13:02,15:01,119,119,99.166667,Certified
STU0276,Student_276,student276@gmail.com,13:03,15:02,119,119,99.166667,Certified
STU0163,Student_163,student163@gmail.com,13:11,15:10,119,119,99.166667,Certified
STU0172,Student_172,student172@gmail.com,13:09,15:08,119,119,99.166667,Certified
STU0016,Student_16,student16@gmail.com,13:19,15:18,119,119,99.166667,Certified
STU0263,Student_263,student263@gmail.com,13:17,15:16,119,119,99.166667,Certified
STU0268,Student_268,student268@gmail.com,13:13,15:12,119,119,99.166667,Certified
STU0305,Student_305,student305@gmail.com,13:04,15:03,119,119,99.166667,Certified
